iso_code;date;people_fully_vaccinated;population;pfv
AFG;12/11/2020;;38928341;
AFG;13/11/2020;;38928341;
AFG;14/11/2020;;38928341;
AFG;15/11/2020;;38928341;
AFG;16/11/2020;;38928341;
AFG;17/11/2020;;38928341;
AFG;18/11/2020;;38928341;
AFG;19/11/2020;;38928341;
AFG;20/11/2020;;38928341;
AFG;21/11/2020;;38928341;
AFG;22/11/2020;;38928341;
AFG;23/11/2020;;38928341;
AFG;24/11/2020;;38928341;
AFG;25/11/2020;;38928341;
AFG;26/11/2020;;38928341;
AFG;27/11/2020;;38928341;
AFG;28/11/2020;;38928341;
AFG;29/11/2020;;38928341;
AFG;30/11/2020;;38928341;
AFG;01/12/2020;;38928341;
AFG;02/12/2020;;38928341;
AFG;03/12/2020;;38928341;
AFG;04/12/2020;;38928341;
AFG;05/12/2020;;38928341;
AFG;06/12/2020;;38928341;
AFG;07/12/2020;;38928341;
AFG;08/12/2020;;38928341;
AFG;09/12/2020;;38928341;
AFG;10/12/2020;;38928341;
AFG;11/12/2020;;38928341;
AFG;12/12/2020;;38928341;
AFG;13/12/2020;;38928341;
AFG;14/12/2020;;38928341;
AFG;15/12/2020;;38928341;
AFG;16/12/2020;;38928341;
AFG;17/12/2020;;38928341;
AFG;18/12/2020;;38928341;
AFG;19/12/2020;;38928341;
AFG;20/12/2020;;38928341;
AFG;21/12/2020;;38928341;
AFG;22/12/2020;;38928341;
AFG;23/12/2020;;38928341;
AFG;24/12/2020;;38928341;
AFG;25/12/2020;;38928341;
AFG;26/12/2020;;38928341;
AFG;27/12/2020;;38928341;
AFG;28/12/2020;;38928341;
AFG;29/12/2020;;38928341;
AFG;30/12/2020;;38928341;
AFG;31/12/2020;;38928341;
AFG;01/01/2021;;38928341;
AFG;02/01/2021;;38928341;
AFG;03/01/2021;;38928341;
AFG;04/01/2021;;38928341;
AFG;05/01/2021;;38928341;
AFG;06/01/2021;;38928341;
AFG;07/01/2021;;38928341;
AFG;08/01/2021;;38928341;
AFG;09/01/2021;;38928341;
AFG;10/01/2021;;38928341;
AFG;11/01/2021;;38928341;
AFG;12/01/2021;;38928341;
AFG;13/01/2021;;38928341;
AFG;14/01/2021;;38928341;
AFG;15/01/2021;;38928341;
AFG;16/01/2021;;38928341;
AFG;17/01/2021;;38928341;
AFG;18/01/2021;;38928341;
